config_id,model,strategy,threshold,accuracy,precision,recall,f1_score,positives_predicted,positive_prediction_rate,false_positives,false_negatives,true_positives,true_negatives
xgboost__smote,xgboost,smote,0.5,0.9195080039793796,0.08588235294117647,0.3924731182795699,0.1409266409266409,850,0.07687437822194085,777,113,73,10094
xgboost__smote,xgboost,smote,0.51,0.9227638599981912,0.08663366336633663,0.3763440860215054,0.14084507042253522,808,0.07307587953332731,738,116,70,10133
xgboost__smote,xgboost,smote,0.52,0.9255675137921678,0.09009009009009009,0.3763440860215054,0.14537902388369678,777,0.07027222573935064,707,116,70,10164
xgboost__smote,xgboost,smote,0.53,0.9298182147056163,0.0925414364640884,0.3602150537634409,0.14725274725274726,724,0.0654788821561002,657,119,67,10214
xgboost__smote,xgboost,smote,0.54,0.9363299267432396,0.0953125,0.3279569892473118,0.1476997578692494,640,0.05788188477887311,579,125,61,10292
xgboost__smote,xgboost,smote,0.55,0.941032829881523,0.0912280701754386,0.27956989247311825,0.13756613756613756,570,0.05155105363118387,518,134,52,10353
xgboost__smote,xgboost,smote,0.56,0.9472732205842452,0.09898989898989899,0.26344086021505375,0.14390602055800295,495,0.044768020258659676,446,137,49,10425
xgboost__smote,xgboost,smote,0.5700000000000001,0.949624672153387,0.10278372591006424,0.25806451612903225,0.14701378254211334,467,0.042235687799583976,419,138,48,10452
xgboost__smote,xgboost,smote,0.5800000000000001,0.9525187663923307,0.10304449648711944,0.23655913978494625,0.1435562805872757,427,0.038618070000904406,383,142,44,10488
xgboost__smote,xgboost,smote,0.59,0.9567694673057792,0.10540540540540541,0.20967741935483872,0.14028776978417268,370,0.033462964637786016,331,147,39,10540
xgboost__smote,xgboost,smote,0.6,0.9586687166500859,0.10951008645533142,0.20430107526881722,0.1425891181988743,347,0.031382834403545265,309,148,38,10562
