replication,metric,value
60,accuracy,0.9436556027855657
60,precision,0.09908256880733946
60,recall,0.2903225806451613
60,f_meas,0.14774281805745554
60,roc_auc,0.8260598633238477
60,pr_auc,0.09634455701870666
61,accuracy,0.9508908383829249
61,precision,0.11279826464208242
61,recall,0.27956989247311825
61,f_meas,0.16074188562596597
61,roc_auc,0.8234139760218318
61,pr_auc,0.09853450728617383
62,accuracy,0.957312109975581
62,precision,0.13144329896907217
62,recall,0.27419354838709675
62,f_meas,0.17770034843205576
62,roc_auc,0.8275207887612599
62,pr_auc,0.08956545233435846
63,accuracy,0.9466401374694764
63,precision,0.10392156862745099
63,recall,0.2849462365591398
63,f_meas,0.15229885057471265
63,roc_auc,0.8203655182032101
63,pr_auc,0.09335099802175
64,accuracy,0.9545988966265714
64,precision,0.1308411214953271
64,recall,0.3010752688172043
64,f_meas,0.18241042345276873
64,roc_auc,0.8236543313916972
64,pr_auc,0.09385717441849563
65,accuracy,0.9562268246359772
65,precision,0.12562814070351758
65,recall,0.26881720430107525
65,f_meas,0.17123287671232876
65,roc_auc,0.8254545238738165
65,pr_auc,0.08851203093722126
66,accuracy,0.9581260739802839
66,precision,0.12054794520547946
66,recall,0.23655913978494625
66,f_meas,0.15970961887477314
66,roc_auc,0.816604896325728
66,pr_auc,0.08564355002146332
67,accuracy,0.949986433933255
67,precision,0.11850311850311851
67,recall,0.3064516129032258
67,f_meas,0.17091454272863568
67,roc_auc,0.8315484721608145
67,pr_auc,0.09262429137148868
68,accuracy,0.9458261734647735
68,precision,0.11401869158878504
68,recall,0.3279569892473118
68,f_meas,0.16920943134535368
68,roc_auc,0.8241291074309374
68,pr_auc,0.08301484138226091
69,accuracy,0.9592113593198879
69,precision,0.12885154061624648
69,recall,0.24731182795698925
69,f_meas,0.16942909760589317
69,roc_auc,0.8231483981748817
69,pr_auc,0.08856656380427366
70,accuracy,0.9444695667902686
70,precision,0.11371841155234658
70,recall,0.3387096774193548
70,f_meas,0.17027027027027028
70,roc_auc,0.8228091311301746
70,pr_auc,0.09629503210689597
71,accuracy,0.9515239214976937
71,precision,0.09862385321100918
71,recall,0.23118279569892472
71,f_meas,0.1382636655948553
71,roc_auc,0.8188892614561974
71,pr_auc,0.08126416943840077
72,accuracy,0.9399475445419192
72,precision,0.11326860841423948
72,recall,0.3763440860215054
72,f_meas,0.17412935323383086
72,roc_auc,0.831978737946376
72,pr_auc,0.09577965113758401
73,accuracy,0.958487835760152
73,precision,0.13404825737265416
73,recall,0.26881720430107525
73,f_meas,0.17889087656529518
73,roc_auc,0.8206953886388072
73,pr_auc,0.09751704700886867
74,accuracy,0.9450122094600706
74,precision,0.10925925925925926
74,recall,0.3172043010752688
74,f_meas,0.162534435261708
74,roc_auc,0.8194985573732224
74,pr_auc,0.0830038707042477
75,accuracy,0.9517952428325948
75,precision,0.12688172043010754
75,recall,0.3172043010752688
75,f_meas,0.18125960061443933
75,roc_auc,0.825012635966461
75,pr_auc,0.09581540044944996
76,accuracy,0.950167314823189
76,precision,0.11087420042643924
76,recall,0.27956989247311825
76,f_meas,0.15877862595419848
76,roc_auc,0.8273973964468948
76,pr_auc,0.08871922570142425
77,accuracy,0.940671068101655
77,precision,0.09897610921501707
77,recall,0.3118279569892473
77,f_meas,0.15025906735751296
77,roc_auc,0.8145143980779483
77,pr_auc,0.0772637875110779
78,accuracy,0.941394591661391
78,precision,0.0975609756097561
78,recall,0.3010752688172043
78,f_meas,0.1473684210526316
78,roc_auc,0.8251889460268664
78,pr_auc,0.08302891173297015
79,accuracy,0.9468210183594103
79,precision,0.10894941634241245
79,recall,0.3010752688172043
79,f_meas,0.16
79,roc_auc,0.8233924627325537
79,pr_auc,0.09858259440285137
80,accuracy,0.9403093063217871
80,precision,0.09830508474576272
80,recall,0.3118279569892473
80,f_meas,0.14948453608247422
80,roc_auc,0.8209832216125966
80,pr_auc,0.10280154872282152
81,accuracy,0.9397666636519851
81,precision,0.10526315789473684
81,recall,0.34408602150537637
81,f_meas,0.16120906801007556
81,roc_auc,0.8160448089669368
81,pr_auc,0.08338959738033067
82,accuracy,0.9518856832775617
82,precision,0.11036036036036036
82,recall,0.26344086021505375
82,f_meas,0.15555555555555556
82,roc_auc,0.8268981397681312
82,pr_auc,0.08770367118910011
83,accuracy,0.9502577552681559
83,precision,0.10606060606060606
83,recall,0.26344086021505375
83,f_meas,0.15123456790123457
83,roc_auc,0.8147154360570641
83,pr_auc,0.089034991901923
84,accuracy,0.9464592565795423
84,precision,0.10810810810810811
84,recall,0.3010752688172043
84,f_meas,0.1590909090909091
84,roc_auc,0.8275504622637124
84,pr_auc,0.08296844834956063
85,accuracy,0.9431129601157637
85,precision,0.1051693404634581
85,recall,0.3172043010752688
85,f_meas,0.15796519410977242
85,roc_auc,0.827952785501131
85,pr_auc,0.09582164901478979
86,accuracy,0.9513430406077598
86,precision,0.11403508771929824
86,recall,0.27956989247311825
86,f_meas,0.16199376947040497
86,roc_auc,0.8154839797705843
86,pr_auc,0.08710337523835933
87,accuracy,0.9512526001627928
87,precision,0.12043010752688173
87,recall,0.3010752688172043
87,f_meas,0.17204301075268819
87,roc_auc,0.8280959601504644
87,pr_auc,0.09951110573808655
88,accuracy,0.9508908383829249
88,precision,0.11777301927194861
88,recall,0.2956989247311828
88,f_meas,0.16845329249617153
88,roc_auc,0.8283669781395308
88,pr_auc,0.08995502573283518
89,accuracy,0.9523378855023966
89,precision,0.10623556581986143
89,recall,0.24731182795698925
89,f_meas,0.14862681744749598
89,roc_auc,0.8260066982986203
89,pr_auc,0.09509341235625857
90,accuracy,0.9534231708420006
90,precision,0.12183908045977011
90,recall,0.2849462365591398
90,f_meas,0.1706924315619968
90,roc_auc,0.8311718659588547
90,pr_auc,0.09119177953089343
91,accuracy,0.9570407886406801
91,precision,0.12661498708010335
91,recall,0.26344086021505375
91,f_meas,0.17102966841186734
91,roc_auc,0.8236461711785227
91,pr_auc,0.09496366332699893
92,accuracy,0.9479063036990142
92,precision,0.1130952380952381
92,recall,0.3064516129032258
92,f_meas,0.16521739130434782
92,roc_auc,0.8183212611634189
92,pr_auc,0.09070213491903466
93,accuracy,0.9423894365560278
93,precision,0.10229276895943562
93,recall,0.3118279569892473
93,f_meas,0.15405046480743692
93,roc_auc,0.8186261564011185
93,pr_auc,0.08903712189471906
94,accuracy,0.957221669530614
94,precision,0.11528150134048257
94,recall,0.23118279569892472
94,f_meas,0.15384615384615385
94,roc_auc,0.8257084795989725
94,pr_auc,0.09111664280712238
95,accuracy,0.950167314823189
95,precision,0.10920770877944326
95,recall,0.27419354838709675
95,f_meas,0.1562021439509954
95,roc_auc,0.8254164428790023
95,pr_auc,0.09227982921549338
96,accuracy,0.949353350818486
96,precision,0.1168032786885246
96,recall,0.3064516129032258
96,f_meas,0.16913946587537093
96,roc_auc,0.8188872832227007
96,pr_auc,0.09524394867598143
97,accuracy,0.9535136112869675
97,precision,0.12037037037037036
97,recall,0.27956989247311825
97,f_meas,0.16828478964401292
97,roc_auc,0.8216827744329146
97,pr_auc,0.086276571210276
98,accuracy,0.9508003979379579
98,precision,0.11422413793103449
98,recall,0.2849462365591398
98,f_meas,0.1630769230769231
98,roc_auc,0.8312606391870252
98,pr_auc,0.09245003425883588
99,accuracy,0.9571312290856471
99,precision,0.12694300518134716
99,recall,0.26344086021505375
99,f_meas,0.17132867132867133
99,roc_auc,0.8192777370591383
99,pr_auc,0.09862832734009355
100,accuracy,0.9593017997648549
100,precision,0.12285714285714286
100,recall,0.23118279569892472
100,f_meas,0.16044776119402987
100,roc_auc,0.8191882219934066
100,pr_auc,0.09055439660803641
