seed,train_prop,model,strategy,over_ratio,threshold,trees,tree_depth,learn_rate,loss_reduction,min_n,n_train,n_test,train_yes_rate,test_yes_rate,accuracy,precision,recall,f1,roc_auc,pr_auc,predicted_positive,false_positives,false_negatives,true_positives,true_negatives,rank
2,0.8,xgboost,smote_02,0.02,0.04,100,4,0.05,0,10,44227,11057,0.016550975648359598,0.017093244098760965,0.966265714027313,0.02577319587628866,0.026455026455026454,0.02610966057441253,0.5623170688960163,0.02752119113408077,194,189,184,5,10679,2
2,0.8,xgboost,smote_08,0.087,0.24000000000000002,100,4,0.05,0,10,44227,11057,0.016550975648359598,0.017093244098760965,0.9789273763226916,0.09259259259259259,0.026455026455026454,0.04115226337448559,0.5430948194106089,0.02769402702024774,54,49,184,5,10819,3
2,0.8,xgboost,smote_15,0.176,0.5,100,4,0.05,0,10,44227,11057,0.016550975648359598,0.017093244098760965,0.06122818124265171,0.01751728056055298,0.9788359788359788,0.03441860465116279,0.5375769454716823,0.018820370924697488,10561,10376,4,185,492,4
2,0.8,xgboost,smote_20,0.25,0.25,100,4,0.05,0,10,44227,11057,0.016550975648359598,0.017093244098760965,0.8842362304422537,0.020228671943711522,0.12169312169312169,0.034690799396681744,0.5375679388837283,0.019307561033256676,1137,1114,166,23,9754,5
2,0.8,xgboost,smote_10,0.111,0.01,100,4,0.05,0,10,44227,11057,0.016550975648359598,0.017093244098760965,0.017093244098760965,0.017093244098760965,1,0.0336119509158812,0.5305172410435568,0.020281486733430006,11057,10868,0,189,0,6
2,0.8,xgboost,smote_05,0.05,0.49,100,4,0.05,0,10,44227,11057,0.016550975648359598,0.017093244098760965,0.14488559283711677,0.016791823112223613,0.8518518518518519,0.03293443796665644,0.5173841752789121,0.05040668113383344,9588,9427,28,161,1441,7
2,0.8,xgboost,smote_30,0.3,0.22,100,4,0.05,0,10,44227,11057,0.016550975648359598,0.017093244098760965,0.8017545446323596,0.022868032396379228,0.25396825396825395,0.04195804195804195,0.5119644001222948,0.019248007560101057,2099,2051,141,48,8817,8
2,0.8,xgboost,smote_03,0.03,0.060000000000000005,100,4,0.05,0,10,44227,11057,0.016550975648359598,0.017093244098760965,0.9007868318712128,0.02410901467505241,0.12169312169312169,0.04024496937882765,0.4997030260188155,0.01739633075819852,954,931,166,23,9937,9
2,0.8,xgboost,none,NA,0.08,150,3,0.05,0,20,44227,11057,0.016550975648359598,0.017093244098760965,0.9554128606312743,0.0913978494623656,0.17989417989417988,0.1212121212121212,0.7910252515515673,0.06525045946898801,372,338,155,34,10530,1
2,0.8,xgboost,smote_10,0.111,0.48000000000000004,150,3,0.05,0,20,44227,11057,0.016550975648359598,0.017093244098760965,0.8971692140725332,0.02217741935483871,0.1164021164021164,0.03725656223539374,0.5589768418715787,0.020061765748958887,992,970,167,22,9898,2
