"approach","seed","train_prop","model","strategy","over_ratio","threshold","n_train","n_test","train_yes_rate","test_yes_rate","accuracy","precision","recall","f1","roc_auc","pr_auc","predicted_positive","false_positives","false_negatives","true_positives","true_negatives","rank"
"no_tariff",65,0.25,"xgboost","smote_10",0.111,0.01,13821,41463,0.0163519282251646,0.0167619323252056,0.0167619323252056,0.0167619323252056,1,0.0329712035675317,0.434890780468247,0.0217393140419108,41463,40768,0,695,0,4
"full",66,0.25,"xgboost","none",NA,0.12,13821,41463,0.0160625135663121,0.0168584038781564,0.972433253744302,0.134868421052632,0.117310443490701,0.125478194338179,0.805513441479473,0.0763342871778117,608,526,617,82,40238,1
"full",66,0.25,"xgboost","smote_10",0.111,0.49,13821,41463,0.0160625135663121,0.0168584038781564,0.84976967416733,0.0390130043347783,0.334763948497854,0.0698820367328655,0.665316770147971,0.0313703912762686,5998,5764,465,234,35000,2
"full",66,0.25,"xgboost","smote_20",0.25,0.42,13821,41463,0.0160625135663121,0.0168584038781564,0.550659624243301,0.0244510448711149,0.659513590844063,0.0471538894287322,0.612205427830582,0.02383925026019,18854,18393,238,461,22371,3
"full",66,0.25,"xgboost","smote_30",0.3,0.05,13821,41463,0.0160625135663121,0.0168584038781564,0.468272918023298,0.0217741935483871,0.695278969957081,0.0422259872279421,0.588764750630623,0.0218539278209765,22320,21834,213,486,18930,4
"no_tariff",66,0.25,"xgboost","none",NA,0.07,13821,41463,0.0160625135663121,0.0168584038781564,0.958806646889998,0.113409961685824,0.21173104434907,0.147704590818363,0.793315169532319,0.0706817372637285,1305,1157,551,148,39607,1
"no_tariff",66,0.25,"xgboost","smote_20",0.25,0.5,13821,41463,0.0160625135663121,0.0168584038781564,0.812579890504787,0.029035695258391,0.311874105865522,0.0531253807725113,0.612765369567161,0.0427813481472254,7508,7290,481,218,33474,2
"no_tariff",66,0.25,"xgboost","smote_30",0.3,0.13,13821,41463,0.0160625135663121,0.0168584038781564,0.807249837204254,0.0285714285714286,0.316165951359084,0.052406924353806,0.593938763185391,0.0274907417835283,7735,7514,478,221,33250,3
"no_tariff",66,0.25,"xgboost","smote_10",0.111,0.5,13821,41463,0.0160625135663121,0.0168584038781564,0.705303523623471,0.0255354200988468,0.443490701001431,0.0482903652932471,0.593101816113379,0.0499403784385196,12140,11830,389,310,28934,4
"full",67,0.25,"xgboost","none",NA,0.08,13821,41463,0.0156283915780334,0.0170031112075827,0.948508308612498,0.0978627671541057,0.246808510638298,0.140153040676601,0.802764788116261,0.078083110478477,1778,1604,531,174,39154,1
"full",67,0.25,"xgboost","smote_20",0.25,0.33,13821,41463,0.0156283915780334,0.0170031112075827,0.418565950365386,0.0229913171089642,0.8,0.0446980504041845,0.599498840935896,0.0238465717738345,24531,23967,141,564,16791,2
"full",67,0.25,"xgboost","smote_10",0.111,0.5,13821,41463,0.0156283915780334,0.0170031112075827,0.688155705086463,0.0236889269851165,0.431205673758865,0.0449106219530211,0.574487469544333,0.0282443208048413,12833,12529,401,304,28229,3
"full",67,0.25,"xgboost","smote_30",0.3,0.44,13821,41463,0.0156283915780334,0.0170031112075827,0.233051154040952,0.0196199598331531,0.900709219858156,0.0384033867553674,0.520817998920457,0.0166733501685385,32365,31730,70,635,9028,4
"no_tariff",67,0.25,"xgboost","none",NA,0.11,13821,41463,0.0156283915780334,0.0170031112075827,0.967223789884958,0.106971153846154,0.126241134751773,0.115810019518543,0.788669308796881,0.0700763712485508,832,743,616,89,40015,1
"no_tariff",67,0.25,"xgboost","smote_20",0.25,0.01,13821,41463,0.0156283915780334,0.0170031112075827,0.0170031112075827,0.0170031112075827,1,0.0334376778599886,0.610028140496457,0.0544087134288753,41463,40758,0,705,0,2
"no_tariff",67,0.25,"xgboost","smote_10",0.111,0.48,13821,41463,0.0156283915780334,0.0170031112075827,0.349106432240793,0.0195942240906598,0.760283687943262,0.0382038488952245,0.587419899987437,0.0586188716123122,27355,26819,169,536,13939,3
"no_tariff",67,0.25,"xgboost","smote_30",0.3,0.46,13821,41463,0.0156283915780334,0.0170031112075827,0.212165062827099,0.0179190925819783,0.842553191489362,0.0350918650676434,0.480053917970766,0.0184665757463723,33149,32555,111,594,8203,4
"full",68,0.25,"xgboost","none",NA,0.08,13821,41463,0.0167860502134433,0.0166172249957794,0.959602537201843,0.104333868378812,0.188679245283019,0.134366925064599,0.809518651538307,0.0777918766724042,1246,1116,559,130,39658,1
"full",68,0.25,"xgboost","smote_10",0.111,0.27,13821,41463,0.0167860502134433,0.0166172249957794,0.913609724332537,0.0365267542454342,0.165457184325109,0.0598425196850394,0.645360816815804,0.0291485535207569,3121,3007,575,114,37767,2
"full",68,0.25,"xgboost","smote_20",0.25,0.34,13821,41463,0.0167860502134433,0.0166172249957794,0.87142753780479,0.0329979879275654,0.238026124818578,0.0579607704541438,0.617984168886473,0.0248530369008809,4970,4806,525,164,35968,3
"full",68,0.25,"xgboost","smote_30",0.3,0.43,13821,41463,0.0167860502134433,0.0166172249957794,0.912572655138316,0.030089628681178,0.136429608127721,0.049305009179124,0.609449336044206,0.0238611656338412,3124,3030,595,94,37744,4
"no_tariff",68,0.25,"xgboost","none",NA,0.07,13821,41463,0.0167860502134433,0.0166172249957794,0.946795938547621,0.0958977091102824,0.261248185776488,0.140296180826189,0.796501573365252,0.0681627948576668,1877,1697,509,180,39077,1
"no_tariff",68,0.25,"xgboost","smote_20",0.25,0.49,13821,41463,0.0167860502134433,0.0166172249957794,0.93208402672262,0.020297699594046,0.0653120464441219,0.030970406056435,0.517278114066115,0.0185209554995763,2217,2172,644,45,38602,2
"no_tariff",68,0.25,"xgboost","smote_30",0.3,0.42,13821,41463,0.0167860502134433,0.0166172249957794,0.147239707691195,0.0163499902346475,0.850507982583454,0.0320832192718314,0.514097354079548,0.0200168513899984,35841,35255,103,586,5519,3
"no_tariff",68,0.25,"xgboost","smote_10",0.111,0.49,13821,41463,0.0167860502134433,0.0166172249957794,0.0799025637315197,0.0161452817028752,0.90711175616836,0.0317258883248731,0.490198565593217,0.0367025066080295,38711,38086,64,625,2688,4
"full",69,0.25,"xgboost","none",NA,0.11,13821,41463,0.0164966355545908,0.0167136965487302,0.963991992861105,0.0910020449897751,0.128427128427128,0.106523040095751,0.796827520447829,0.0665424246860974,978,889,604,89,39881,1
"full",69,0.25,"xgboost","smote_20",0.25,0.5,13821,41463,0.0164966355545908,0.0167136965487302,0.916359163591636,0.0574162679425837,0.25974025974026,0.0940438871473354,0.675529127074381,0.0376206222917533,3135,2955,513,180,37815,2
"full",69,0.25,"xgboost","smote_10",0.111,0.17,13821,41463,0.0164966355545908,0.0167136965487302,0.932542266599137,0.0410122164048866,0.135642135642136,0.0629815745393635,0.633228974987621,0.0306839350856709,2292,2198,599,94,38572,3
"full",69,0.25,"xgboost","smote_30",0.3,0.43,13821,41463,0.0164966355545908,0.0167136965487302,0.928924583363481,0.0426136363636364,0.151515151515152,0.0665188470066519,0.631774081258997,0.0303621451355279,2464,2359,588,105,38411,4
"no_tariff",69,0.25,"xgboost","none",NA,0.12,13821,41463,0.0164966355545908,0.0167136965487302,0.969683814485204,0.0828402366863905,0.0808080808080808,0.0818115412710007,0.784041154386997,0.065031635823075,676,620,637,56,40150,1
"no_tariff",69,0.25,"xgboost","smote_20",0.25,0.5,13821,41463,0.0164966355545908,0.0167136965487302,0.558353230591129,0.0215608537446369,0.572871572871573,0.041557625876688,0.597593404878173,0.0290758360004412,18413,18016,296,397,22754,2
"no_tariff",69,0.25,"xgboost","smote_30",0.3,0.49,13821,41463,0.0164966355545908,0.0167136965487302,0.780044859272122,0.0267325620577333,0.343434343434343,0.0496040016673614,0.579371751078889,0.0296017483369676,8903,8665,455,238,32105,3
"no_tariff",69,0.25,"xgboost","smote_10",0.111,0.37,13821,41463,0.0164966355545908,0.0167136965487302,0.964040228637581,0.0476190476190476,0.0606060606060606,0.0533333333333333,0.541869003642366,0.02740911523944,882,840,651,42,39930,4
"full",70,0.25,"xgboost","none",NA,0.1,13821,41463,0.017220172201722,0.0164725176663531,0.961700793478523,0.111587982832618,0.190336749633968,0.140692640692641,0.799941477929999,0.0750281428811528,1165,1035,553,130,39745,1
"full",70,0.25,"xgboost","smote_30",0.3,0.5,13821,41463,0.017220172201722,0.0164725176663531,0.0903214914502086,0.0176101284288952,0.989751098096633,0.0346045559252624,0.61881981808612,0.0223190923047198,38387,37711,7,676,3069,2
