config_id,model,strategy,over_ratio,threshold,trees,tree_depth,learn_rate,loss_reduction,min_n,sample_size,n_train,n_test,train_yes_rate,test_yes_rate,accuracy,precision,recall,f1,roc_auc,pr_auc,predicted_positive,false_positives,false_negatives,true_positives,true_negatives,rank
39,xgboost,smote_30,0.3,0.05,400,3,0.03,0.5,50,1,44227,11057,0.016618807515770908,0.01682192276386,0.8930089536040517,0.031044214487300093,0.1774193548387097,0.05284227381905524,0.5661269056570554,0.023589399872008747,1063,1030,153,33,9841,39
32,xgboost,smote_75,0.75,0.24000000000000002,200,4,0.03,1,50,0.7,44227,11057,0.016618807515770908,0.01682192276386,0.9087455910283079,0.029714285714285714,0.13978494623655913,0.04901036757775683,0.5654965910091265,0.032224670794860535,875,849,160,26,10022,40
50,xgboost,smote_75,0.75,0.01,400,3,0.05,0.5,10,0.7,44227,11057,0.016618807515770908,0.01682192276386,0.98317807723614,NA,0,NA,0.5649389764422064,0.020703298997466854,0,0,186,0,10871,41
46,xgboost,smote_50,0.5,0.04,400,2,0.03,0.5,25,0.7,44227,11057,0.016618807515770908,0.01682192276386,0.7776069458261735,0.027835479850436228,0.3602150537634409,0.051677593521018125,0.5624491223072533,0.03080445545567597,2407,2340,119,67,8531,42
26,xgboost,smote_100,1,0.05,200,4,0.05,0.5,50,0.7,44227,11057,0.016618807515770908,0.01682192276386,0.8936420367188207,0.029467680608365018,0.16666666666666666,0.050080775444264945,0.5610416091742557,0.024939379750786653,1052,1021,155,31,9850,43
45,xgboost,smote_100,1,0.02,400,2,0.03,0.5,25,0.7,44227,11057,0.016618807515770908,0.01682192276386,0.8532151578185765,0.02574257425742574,0.20967741935483872,0.045855379188712526,0.5609384937532331,0.025218923622373608,1515,1476,147,39,9395,44
56,xgboost,smote_75,0.75,0.41000000000000003,100,4,0.03,0.5,25,0.7,44227,11057,0.016618807515770908,0.01682192276386,0.9609297277742607,0.03759398496240601,0.053763440860215055,0.04424778761061946,0.5602270715319341,0.04332266177288783,266,256,176,10,10615,45
9,xgboost,smote_40,0.4,0.41000000000000003,200,3,0.01,0.5,50,1,44227,11057,0.016618807515770908,0.01682192276386,0.8372976395043864,0.02753368482718219,0.25268817204301075,0.049656629688325404,0.5580599167361521,0.14632568377793984,1707,1660,139,47,9211,46
10,xgboost,smote_100,1,0.21000000000000002,400,3,0.01,0.5,50,0.7,44227,11057,0.016618807515770908,0.01682192276386,0.9131771728316903,0.03033980582524272,0.13440860215053763,0.04950495049504951,0.5567001284862656,0.03597127150293177,824,799,161,25,10072,47
11,xgboost,smote_100,1,0.01,200,4,0.01,1,50,0.7,44227,11057,0.016618807515770908,0.01682192276386,0.01682192276386,0.01682192276386,1,0.0330872542915592,0.5561588343456944,0.08505917967823379,11057,10871,0,186,0,48
24,xgboost,smote_50,0.5,0.49,100,3,0.03,1,50,1,44227,11057,0.016618807515770908,0.01682192276386,0.8372976395043864,0.02753368482718219,0.25268817204301075,0.049656629688325404,0.5499941642111843,0.14639653936030222,1707,1660,139,47,9211,49
52,xgboost,smote_75,0.75,0.49,100,3,0.01,0.5,25,0.7,44227,11057,0.016618807515770908,0.01682192276386,0.8372976395043864,0.02753368482718219,0.25268817204301075,0.049656629688325404,0.5499941642111843,0.14639653936030222,1707,1660,139,47,9211,50
27,xgboost,smote_30,0.3,0.01,100,4,0.01,1,50,1,44227,11057,0.016618807515770908,0.01682192276386,0.01682192276386,0.01682192276386,1,0.0330872542915592,0.5499941642111843,0.14639653936030222,11057,10871,0,186,0,51
