.threshold,specificity,sensitivity
0.014572560787200928,0.04249839021249191,0.9946236559139785
0.014625072479248047,0.04286634164290315,0.9946236559139785
0.014672398567199707,0.04295832950050593,0.9946236559139785
0.01470029354095459,0.04323429307331428,0.9946236559139785
0.014729917049407959,0.04332628093091717,0.9946236559139785
0.014803409576416016,0.0436942323613283,0.9946236559139785
0.014863014221191406,0.044246159506945104,0.9946236559139785
0.014882326126098633,0.04489007451016469,0.9946236559139785
0.01491689682006836,0.04498206236776747,0.9946236559139785
0.01492166519165039,0.0453500137981786,0.9946236559139785
0.01493161916732788,0.045533989513384276,0.9946236559139785
0.015000522136688232,0.04571796522858984,0.9946236559139785
0.015092730522155762,0.04580995308619262,0.9946236559139785
0.01510310173034668,0.045901940943795405,0.9946236559139785
0.015110194683074951,0.04599392880139819,0.9946236559139785
0.015141963958740234,0.04608591665900097,0.9946236559139785
0.015147149562835693,0.04617790451660386,0.9946236559139785
0.015153169631958008,0.046729831662220556,0.9946236559139785
0.015207767486572266,0.047465734523042924,0.9946236559139785
0.015211701393127441,0.047557722380645706,0.9946236559139785
0.01525193452835083,0.0476497102382486,0.9946236559139785
0.015252172946929932,0.04774169809585138,0.9946236559139785
0.015266358852386475,0.047925673811056946,0.9946236559139785
0.015314459800720215,0.04801766166865973,0.9946236559139785
0.015319108963012695,0.04810964952626251,0.9946236559139785
0.015390872955322266,0.04847760095667375,0.9946236559139785
0.015401124954223633,0.04902952810229044,0.9946236559139785
0.015418708324432373,0.049121515959893336,0.9946236559139785
0.015439629554748535,0.0493054916750989,0.9946236559139785
0.015495061874389648,0.04939747953270168,0.9946236559139785
0.015507817268371582,0.049489467390304465,0.9946236559139785
0.015512168407440186,0.04967344310551003,0.9946236559139785
0.015528380870819092,0.04976543096311292,0.9946236559139785
0.015529990196228027,0.049857418820715704,0.9946236559139785
0.015540838241577148,0.050317358108729615,0.9946236559139785
0.015554964542388916,0.0504093459663324,0.9946236559139785
0.015637516975402832,0.0509612731119492,0.9946236559139785
0.01564401388168335,0.05105326096955198,0.9946236559139785
0.015678882598876953,0.051145248827154766,0.9946236559139785
0.015712857246398926,0.05123723668475766,0.9946236559139785
0.015718281269073486,0.05178916383037435,0.9946236559139785
0.01574796438217163,0.051881151687977134,0.9946236559139785
0.015791594982147217,0.05215711526078559,0.9946236559139785
0.01585686206817627,0.052249103118388374,0.9946236559139785
0.015857040882110596,0.052341090975991156,0.9946236559139785
0.015866994857788086,0.05252506669119672,0.9946236559139785
0.015895724296569824,0.05261705454879961,0.9946236559139785
0.0159071683883667,0.05280103026400518,0.9946236559139785
0.01591503620147705,0.05298500597921074,0.9946236559139785
0.01593601703643799,0.053076993836813524,0.9946236559139785
0.015960633754730225,0.053168981694416306,0.9946236559139785
0.015962719917297363,0.05326096955201909,0.9946236559139785
0.01600170135498047,0.05335295740962198,0.9946236559139785
0.016094505786895752,0.053536933124827546,0.9946236559139785
0.01614391803741455,0.05381289669763589,0.9946236559139785
0.016144156455993652,0.053904884555238675,0.9946236559139785
0.016147375106811523,0.05418084812804713,0.9946236559139785
0.01615995168685913,0.05454879955845826,0.9946236559139785
0.01619488000869751,0.0549167509888695,0.9946236559139785
0.0161970853805542,0.05500873884647228,0.9946236559139785
0.016233086585998535,0.05519271456167785,0.9946236559139785
0.016264259815216064,0.05528470241928063,0.9946236559139785
0.016335785388946533,0.05556066599208909,0.9946236559139785
0.01633632183074951,0.05583662956489743,0.9946236559139785
0.01634383201599121,0.055928617422500215,0.9946236559139785
0.016360104084014893,0.056020605280103,0.9946236559139785
0.016366541385650635,0.05611259313770578,0.9946236559139785
0.01637786626815796,0.05620458099530867,0.9946236559139785
0.016385674476623535,0.056296568852911455,0.9946236559139785
0.01638650894165039,0.056664520283322584,0.9946236559139785
0.01640993356704712,0.05703247171373382,0.9946236559139785
0.016446471214294434,0.057124459571336605,0.9946236559139785
0.016457438468933105,0.05776837457455619,0.9946236559139785
0.01654517650604248,0.05804433814736454,0.9946236559139785
0.01655334234237671,0.05813632600496732,0.9946236559139785
0.01658773422241211,0.058688253150584124,0.9946236559139785
0.01658838987350464,0.058780241008186906,0.9946236559139785
0.016590595245361328,0.05924018029620093,0.9946236559139785
0.016668319702148438,0.05933216815380371,0.9946236559139785
0.016685128211975098,0.059884095299420514,0.9946236559139785
0.016703665256500244,0.0599760831570233,0.9946236559139785
0.016711890697479248,0.060344034587434425,0.9946236559139785
0.01671743392944336,0.06043602244503721,0.9946236559139785
0.016724348068237305,0.0605280103026401,0.9946236559139785
0.016741514205932617,0.06061999816024288,0.9946236559139785
0.01676708459854126,0.06264373102750442,0.9946236559139785
0.01683872938156128,0.06356360960353236,0.9946236559139785
0.01684969663619995,0.06402354889154627,0.9946236559139785
0.016965508460998535,0.06420752460675194,0.9946236559139785
0.01696699857711792,0.06429951246435472,0.9946236559139785
0.01698160171508789,0.0643915003219575,0.9946236559139785
0.016983330249786377,0.06448348817956029,0.9946236559139785
0.01701432466506958,0.06457547603716307,0.9946236559139785
0.017176032066345215,0.06494342746757431,0.9946236559139785
0.017221510410308838,0.06512740318277987,0.9946236559139785
0.017227590084075928,0.06521939104038266,0.9946236559139785
0.01728266477584839,0.06531137889798544,0.9946236559139785
0.017328321933746338,0.06540336675558822,0.9946236559139785
0.017342984676361084,0.06567933032839668,0.9946236559139785
0.017380356788635254,0.06577131818599946,0.9946236559139785
0.017384767532348633,0.06586330604360224,0.9946236559139785
0.01740443706512451,0.06595529390120503,0.9946236559139785
0.01741570234298706,0.067795051053261,0.9946236559139785
0.017437458038330078,0.06788703891086378,0.9946236559139785
0.01744610071182251,0.06807101462606935,0.9946236559139785
0.017464876174926758,0.06816300248367213,0.9946236559139785
0.017504334449768066,0.06825499034127491,0.9946236559139785
0.017552554607391357,0.0683469781988777,0.9946236559139785
